,ConditionA_replicat1,ConditionA_replicat2,ConditionA_replicat3,ConditionB_replicat1,ConditionB_replicat2,ConditionB_replicat3,ConditionA_replicat4,ConditionA_replicat5,ConditionA_replicat6,ConditionB_replicat4,ConditionB_replicat5,ConditionB_replicat6,ConditionA_replicat7,ConditionA_replicat8,ConditionA_replicat9,ConditionB_replicat7,ConditionB_replicat8,ConditionB_replicat9,ConditionA_replicat10,ConditionA_replicat11,ConditionA_replicat12,ConditionB_replicat10,ConditionB_replicat11,ConditionB_replicat12,ConditionA_replicat13,ConditionA_replicat14,ConditionA_replicat15,ConditionB_replicat13,ConditionB_replicat14,ConditionB_replicat15,ConditionA_replicat16,ConditionA_replicat17,ConditionA_replicat18,ConditionB_replicat16,ConditionB_replicat17,ConditionB_replicat18,ConditionA_replicat19,ConditionA_replicat20,ConditionA_replicat21,ConditionB_replicat19,ConditionB_replicat20,ConditionB_replicat21,ConditionA_replicat22,ConditionA_replicat23,ConditionA_replicat24,ConditionB_replicat22,ConditionB_replicat23,ConditionB_replicat24
ENSG00000000003,28,25,39,9,8,19,19,29,15,13,22,13,19,18,22,8,19,6,21,22,16,14,26,14,23,39,30,15,10,32,53,33,25,16,8,18,37,26,18,5,13,10,27,24,20,10,12,15
ENSG00000000419,36,75,57,12,8,6,37,39,51,7,8,9,33,30,20,7,7,7,31,13,31,7,6,4,45,40,22,0,5,12,49,45,40,10,7,16,38,44,39,6,3,4,26,49,29,6,14,4
ENSG00000000457,3,16,5,1,2,4,8,4,6,1,1,2,0,4,2,0,3,1,3,3,4,1,5,1,8,9,2,1,0,1,13,3,7,2,2,0,6,9,7,0,1,1,12,3,7,0,6,1
ENSG00000000460,19,3,4,1,4,6,8,13,21,1,1,4,7,3,8,0,5,0,6,12,3,0,2,0,9,14,4,4,0,1,10,19,7,0,3,2,8,9,12,2,4,0,17,7,15,0,4,1
ENSG00000000971,31,22,25,3,8,3,32,27,15,3,8,4,11,6,11,3,5,4,8,17,12,4,7,6,25,30,24,0,0,1,29,29,19,3,6,4,37,40,21,5,4,3,20,24,27,2,3,3
ENSG00000001036,79,69,77,26,16,20,62,83,65,30,21,15,29,49,31,12,9,15,61,45,46,11,6,14,68,102,57,15,18,13,93,51,48,18,12,11,49,70,42,12,11,6,66,53,46,20,21,20
ENSG00000001084,10,17,25,8,1,1,16,20,23,10,4,2,9,4,13,3,4,0,2,4,8,1,1,1,10,13,7,7,0,1,19,15,9,7,5,11,7,6,14,2,4,3,15,23,13,7,1,0
ENSG00000001167,20,12,28,5,6,4,9,28,16,6,11,6,13,11,17,9,5,3,6,20,23,5,2,6,9,22,7,4,5,11,18,19,18,2,3,0,20,12,22,7,6,2,20,22,12,3,12,8
ENSG00000001460,0,3,1,1,0,0,4,2,1,0,1,1,2,1,4,0,2,0,0,5,0,2,0,2,0,1,0,0,0,3,4,5,5,1,0,1,4,9,2,2,1,2,2,1,3,0,2,1
ENSG00000001461,5,14,4,4,0,3,9,0,1,2,3,5,0,1,2,3,2,1,5,3,1,2,0,2,6,9,2,2,1,1,12,4,4,1,6,0,1,1,9,0,3,0,2,2,5,0,6,2
ENSG00000001497,37,49,24,0,6,16,33,58,57,10,9,11,40,26,29,3,4,5,43,29,30,5,4,4,41,51,31,9,3,5,42,51,45,9,2,2,30,49,31,5,9,6,21,39,25,10,7,9
ENSG00000001561,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ENSG00000001617,2,1,0,0,0,0,2,7,4,0,0,0,0,1,0,2,0,0,0,1,1,0,2,0,0,1,0,0,3,0,1,0,1,0,5,0,3,0,2,0,0,0,8,6,1,0,1,0
ENSG00000001626,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001629,6,19,13,2,2,8,13,20,18,3,4,5,5,3,1,7,0,1,12,6,9,6,12,2,4,2,2,4,1,14,13,0,10,2,7,6,9,18,7,0,6,6,15,17,5,1,11,3
ENSG00000001630,0,5,3,2,1,0,2,4,3,1,0,2,0,3,5,1,0,0,0,0,0,0,0,2,3,3,8,1,2,4,4,7,2,0,0,2,0,1,0,1,0,0,2,8,2,1,0,1
ENSG00000001631,1,6,7,0,0,0,9,0,5,1,0,0,0,4,0,0,0,0,2,1,2,2,3,1,3,3,2,0,0,0,5,0,2,3,2,0,3,2,3,0,5,0,0,0,5,0,1,1
ENSG00000002016,0,3,2,0,0,0,0,1,0,0,0,2,0,1,4,2,0,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,7,1,5,0,0,0,0,1,0,1,0,0
ENSG00000002330,43,44,53,30,33,24,45,51,49,12,15,19,19,16,38,12,22,22,32,43,44,12,19,14,46,34,44,21,25,25,52,42,37,25,4,30,24,37,50,11,16,2,38,44,56,30,47,22
ENSG00000002549,79,204,123,25,62,32,86,128,131,32,40,45,101,87,69,40,16,17,73,77,66,19,27,26,124,114,114,37,40,23,128,114,111,51,36,31,124,87,99,24,40,17,103,108,117,32,49,26
ENSG00000002586,116,128,128,34,14,22,106,104,125,15,29,28,49,48,113,12,19,12,58,80,68,47,16,25,109,130,69,19,19,20,104,59,94,25,34,25,101,82,73,29,24,15,70,96,84,10,29,17
ENSG00000002587,1,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
ENSG00000002746,0,3,0,0,3,2,0,0,8,0,0,0,1,0,3,0,0,0,3,4,0,0,0,0,1,9,3,0,0,0,7,0,0,0,2,0,1,2,4,0,0,0,0,0,0,0,0,0
