,ConditionA_replicate1,ConditionA_replicate2,ConditionA_replicate3,ConditionA_replicate4,ConditionB_replicate1,ConditionB_replicate2,ConditionB_replicate3,ConditionB_replicate4
ENSG00000000003,2545,2748,2923,2492,5884,5608,6073,5742
ENSG00000000419,1954,2279,2180,1888,1155,1026,1201,1107
ENSG00000000457,169,173,205,139,110,138,139,126
ENSG00000000460,366,414,427,320,152,176,146,162
ENSG00000000971,2690,3087,2881,2631,1821,1714,1890,1865
ENSG00000001036,5099,5910,5701,4950,5533,5235,5605,5500
ENSG00000001084,397,502,433,448,388,400,454,398
ENSG00000001167,503,560,576,540,585,640,691,594
ENSG00000001460,55,47,53,56,61,53,58,66
ENSG00000001461,129,163,150,107,153,173,172,163
ENSG00000001497,546,594,602,564,204,263,286,232
ENSG00000001561,101,139,127,122,228,202,226,258
ENSG00000001617,82,94,115,99,96,107,106,92
ENSG00000001626,8,4,8,10,7,6,3,2
ENSG00000001629,279,281,329,243,355,326,351,289
ENSG00000001630,4,4,1,7,2,0,1,0
ENSG00000001631,95,112,157,111,65,79,92,76
ENSG00000002016,35,32,37,20,30,34,61,47
ENSG00000002330,649,779,802,663,1053,904,1066,1016
ENSG00000002549,2759,3167,3096,2913,2938,2754,3064,2786
ENSG00000002586,4888,5765,5879,4969,5227,5105,5456,5271
ENSG00000002587,13,8,7,2,125,103,151,131
ENSG00000002746,10,8,14,12,9,5,22,5
ENSG00000002834,4476,5094,4980,4486,7333,6902,7182,7143
ENSG00000002919,246,302,336,236,283,284,296,286
ENSG00000002933,570,673,647,553,470,443,512,498
ENSG00000003056,338,448,416,356,477,491,527,518
ENSG00000003096,182,217,168,182,159,162,159,168
ENSG00000003137,520,539,625,555,1226,1157,1395,1238
ENSG00000003147,194,245,226,219,298,354,387,394
ENSG00000003249,642,722,725,667,991,1011,1071,990
ENSG00000003393,315,384,364,328,253,249,294,265
ENSG00000003400,148,178,121,125,64,89,78,91
ENSG00000003402,349,455,378,361,673,634,678,612
ENSG00000003436,1838,2215,2092,1753,876,815,888,875
ENSG00000003509,135,138,149,133,119,97,124,95
ENSG00000003756,314,377,393,322,396,325,380,315
ENSG00000003989,2757,3044,3125,2690,406,380,450,413
ENSG00000004059,1215,1435,1447,1310,1233,1224,1153,1335
ENSG00000004139,58,84,57,51,191,174,209,206
ENSG00000004142,3101,3571,3647,3233,2889,2662,2839,2784
ENSG00000004399,653,717,712,650,973,887,946,923
ENSG00000004455,1637,1965,1956,1645,991,1040,1156,1048
ENSG00000004468,115,125,135,117,4,2,3,3
ENSG00000004478,4866,5328,5496,4787,3080,2713,3038,2840
ENSG00000004487,2269,2496,2591,2247,1704,1620,1825,1668
ENSG00000004534,315,408,400,359,334,293,327,278
ENSG00000004660,5,6,7,5,20,8,20,19
ENSG00000004700,379,502,454,382,596,597,552,577
ENSG00000004766,237,253,226,213,241,222,217,232
ENSG00000004776,83,85,73,93,103,96,109,96
ENSG00000004777,8,12,11,30,4,5,6,4
ENSG00000004779,5655,6187,6093,5467,3145,3108,3422,3131
ENSG00000004799,17,17,19,14,37,51,38,39
ENSG00000004838,9,11,12,3,5,3,5,7
ENSG00000004864,1677,1843,1852,1667,1209,1111,1335,1202
ENSG00000004866,642,719,674,665,1865,1840,1913,1803
ENSG00000004897,701,740,797,722,505,415,452,425
ENSG00000004961,1228,1400,1341,1178,1246,1137,1305,1203
ENSG00000004975,866,985,1022,890,738,718,766,791
ENSG00000005007,2059,2218,2289,1931,2470,2425,2585,2505
ENSG00000005020,330,341,369,278,667,547,610,596
ENSG00000005022,22602,25909,25494,22264,20508,19820,21065,20279
ENSG00000005059,257,287,277,216,332,270,304,336
ENSG00000005073,0,2,4,0,28,18,27,21
ENSG00000005075,2700,3085,3116,2883,2632,2383,2638,2669
ENSG00000005100,759,847,922,842,413,440,428,508
ENSG00000005102,0,1,0,0,45,33,38,38
ENSG00000005108,90,119,94,102,38,63,53,45
ENSG00000005156,642,764,694,688,413,377,365,427
ENSG00000005175,574,693,668,662,456,471,551,515
ENSG00000005187,647,689,706,564,5484,5223,5592,5422
ENSG00000005189,112,141,130,126,37,39,31,32
ENSG00000005194,1290,1388,1440,1259,1171,1199,1287,1247
ENSG00000005206,408,448,513,461,655,636,624,615
ENSG00000005238,107,110,146,106,835,826,904,893
ENSG00000005243,139,142,103,114,359,334,393,313
ENSG00000005249,42,41,38,27,143,134,129,130
ENSG00000005302,110,132,130,160,234,179,219,218
ENSG00000005339,448,502,498,494,513,469,554,507
ENSG00000005379,3,11,13,6,10,5,1,6
ENSG00000005421,495,531,519,416,2315,2240,2338,2203
ENSG00000005436,318,405,387,375,213,233,278,251
ENSG00000005448,117,111,110,93,73,89,73,91
ENSG00000005469,129,169,152,130,255,265,285,263
ENSG00000005471,155,159,156,133,88,84,85,78
ENSG00000005483,527,702,610,564,841,892,885,872
ENSG00000005486,1491,1650,1605,1579,2354,2153,2660,2388
ENSG00000005700,676,719,777,738,671,649,757,608
ENSG00000005801,379,442,411,398,461,514,540,501
ENSG00000005810,497,606,571,524,380,333,425,384
ENSG00000005812,686,766,757,714,924,902,993,856
ENSG00000005844,129,151,157,139,20,17,15,5
ENSG00000005882,248,297,297,234,418,410,410,390
ENSG00000005884,12,30,33,15,205,165,187,207
ENSG00000005889,210,279,249,261,284,334,323,254
ENSG00000005893,1843,2175,2119,1883,3300,3211,3259,3028
ENSG00000005961,2,5,6,6,0,3,1,3
ENSG00000005981,9,9,8,5,11,8,10,15
ENSG00000006007,1604,1867,1781,1645,2753,2821,3089,2876
ENSG00000006015,1178,1504,1482,1328,685,636,659,707
ENSG00000006016,868,1022,965,922,4232,4161,4361,4356
ENSG00000006025,15,6,2,1,14,13,12,23
ENSG00000006042,1800,2073,2134,1921,2243,2117,2194,2076
ENSG00000006047,32,35,36,34,28,22,19,18
ENSG00000006062,20,27,16,22,34,29,35,29
ENSG00000006118,1381,1552,1620,1427,1558,1497,1679,1575
ENSG00000006125,1738,1939,2051,1823,2614,2423,2567,2566
ENSG00000006194,281,344,341,268,289,287,282,257
ENSG00000006210,1941,2285,2425,2151,4523,4275,4555,4486
ENSG00000006282,521,618,663,577,551,540,571,607
ENSG00000006283,9,8,12,9,18,15,9,12
ENSG00000006327,5935,6815,7060,6428,12544,12038,12743,12783
ENSG00000006377,124,162,112,118,92,93,112,97
ENSG00000006432,158,199,213,169,217,199,277,287
ENSG00000006451,1868,2076,2145,1934,2214,2179,2377,2246
ENSG00000006453,1677,1846,1994,1748,1418,1251,1417,1308
ENSG00000006459,123,150,127,135,169,136,170,141
ENSG00000006468,308,367,362,346,85,82,81,99
ENSG00000006530,594,670,692,595,353,359,392,381
ENSG00000006534,51,65,28,49,92,112,108,106
ENSG00000006555,79,107,80,68,63,30,89,60
ENSG00000006576,175,199,220,171,264,261,278,267
ENSG00000006607,145,182,187,182,431,457,460,381
ENSG00000006611,185,228,207,191,307,267,291,282
ENSG00000006625,1848,2064,2037,1725,838,780,942,895
ENSG00000006634,1030,1175,1227,1049,411,364,407,392
ENSG00000006638,56,56,62,51,74,80,69,69
ENSG00000006652,554,659,662,541,436,415,511,473
ENSG00000006659,3,0,1,0,9,2,10,7
ENSG00000006695,342,369,370,380,316,278,316,316
ENSG00000006704,223,267,249,279,373,354,343,314
ENSG00000006712,1039,1178,1239,1097,789,757,823,734
ENSG00000006715,204,227,226,203,444,461,520,480
ENSG00000006740,6,7,3,11,10,19,24,9
ENSG00000006744,2213,2458,2420,2124,1477,1418,1619,1444
ENSG00000006756,182,243,271,225,574,533,619,544
ENSG00000006757,414,463,472,386,321,317,296,312
ENSG00000006831,1712,2015,1942,1802,2568,2453,2697,2529
ENSG00000006837,10,3,8,9,8,15,18,9
ENSG00000007038,19,14,15,9,10,15,5,13
ENSG00000007047,268,339,286,301,345,353,326,337
ENSG00000007062,2267,2650,2588,2281,10080,9499,10170,9493
ENSG00000007080,1226,1408,1485,1311,1116,944,1096,1111
ENSG00000007168,1172,1412,1380,1292,2023,1916,2104,1938
ENSG00000007202,712,984,844,818,831,756,876,757
ENSG00000007216,6,7,9,12,19,23,24,18
ENSG00000007255,304,346,328,308,269,272,252,283
ENSG00000007341,155,212,195,198,131,161,129,139
ENSG00000007372,11,8,13,17,68,65,75,52
ENSG00000007376,622,671,703,575,484,433,532,494
ENSG00000007384,161,269,209,200,387,424,472,433
ENSG00000007392,515,595,569,560,483,401,468,438
ENSG00000007402,3,1,2,5,3,1,2,2
ENSG00000007516,8,14,14,8,17,14,17,5
ENSG00000007520,1267,1520,1486,1348,990,954,984,995
